Movie_Title,ListOfCertificate
White Heat,"Approved,TV-PG"
The Legend Is Born: Ip Man,
The Skulls,PG-13
Get Carter,"R,TV-14"
Fanaa,
The Outpost,R
Udta Punjab,
Fist of Fury,R
Delhi Belly,
The Wandering Earth,TV-MA
Knockin' on Heaven's Door,
Henry V,PG-13
Ip Man 4: The Finale,"TV-PG,TV-14"
Lupin III: The Castle of Cagliostro,
Mesrine: Public Enemy No. 1,R
Rogue,R
The Taking of Pelham One Two Three,R
The Bad Batch,R
The Art of War,R
Heist,R
The Big Hit,R
How I Live Now,R
Virtuosity,R
To Strike,
The Double,PG-13
Scarface,"PG,Passed"
Micmacs,R
Risen,PG-13
Cell,R
Death Race 2000,R
Sweet Girl,R
Dragon Ball Z: Battle of Gods,TV-PG
Holiday: A Soldier is Never Off Duty,
Cutthroat Island,PG-13
Max Manus: Man of War,
Barb Wire,R
The Toxic Avenger,"R,TV-MA"
Tiger Zinda Hai,
Virus,R
Turbo Kid,
Son of a Gun,R
Taxi 4,
Rollerball,"R,PG-13"
The Shadow,PG-13
Jolt,R
Hamburger Hill,R
Wrongfully Accused,PG-13
Tanhaji: The Unsung Warrior,
Bodyguard,
Kaththi,TV-14
Sarfarosh,
Cooties,R
The Adventures of Pluto Nash,PG-13
Dragon Ball Super: Broly,PG
Stakeout,R
Universal Soldier: Regeneration,R
Dhoom 2,
Three Steps Above Heaven,
The Quest,PG-13
Colors,R
The Man,PG-13
Koi... Mil Gaya,
Juice,"R,TV-14"
The Wall,R
Kaabil,TV-MA
Kill Me Three Times,R
Willy's Wonderland,TV-MA
Tales from the Crypt: Demon Knight,"R,TV-MA"
Megan Leavey,PG-13
Nowhere to Run,R
2.0,
Out for Justice,"R,TV-14"
Redemption Day,R
Bang Bang,
Badlapur,
Muppet Treasure Island,G
Fist of Legend,R
Darr,
Asuran,
On Deadly Ground,R
Rim of the World,TV-14
Dead Presidents,R
Ink,
Quigley Down Under,PG-13
"Dragon Ball Z: Resurrection ""F""",TV-PG
Marauders,R
Maximum Risk,"R,TV-14"
Bhuj: The Pride of India,
Pokémon the Movie 2000,G
