Movie_Title,Movie_ID,ListOfCertificate
Saw,387564,"TV-MA,R,TV-14"
Be Cool,377471,PG-13
ParaNorman,1623288,PG
Wallace & Gromit: The Curse of the Were-Rabbit,312004,"G,TV-G,TV-PG"
Primal Fear,117381,R
Fantastic Four,1502712,"PG-13,TV-PG"
Just Married,305711,PG-13
Me Before You,2674426,PG-13
Dracula Untold,829150,PG-13
Once Upon a Time in Mexico,285823,R
The Big Chill,85244,R
White Noise,375210,PG-13
Edward Scissorhands,99487,"PG-13,TV-PG,TV-14"
Drumline,303933,PG-13
The Hateful Eight,3460252,R
TMNT,453556,PG
The Hundred-Foot Journey,2980648,PG
Evil Dead,1288558,"R,TV-14"
The Count of Monte Cristo,245844,"PG-13,TV-14"
La Bamba,93378,PG-13
The Woman in Black,1596365,PG-13
The Abyss,96754,PG-13
Horrible Bosses 2,2170439,"R,TV-14"
"Three Billboards Outside Ebbing, Missouri",5027774,R
New Year's Eve,1598822,PG-13
Crash,375679,R
Tag,2854926,"R,TV-14"
The Omen,466909,"R,TV-14"
What Men Want,7634968,R
Small Soldiers,122718,PG-13
Source Code,945513,PG-13
Assassin's Creed,2094766,PG-13
Final Destination 3,414982,"R,TV-14"
Pet Sematary,837563,R
RED 2,1821694,PG-13
King Kong,74751,PG
"Yours, Mine & Ours",443295,PG
Gandhi,83987,PG
Grand Canyon: The Hidden Secrets,87355,
Diary of a Wimpy Kid: Rodrick Rules,1650043,PG
Unfaithful,250797,"TV-MA,R"
Four Weddings and a Funeral,109831,"R,TV-14"
The Recruit,292506,PG-13
13 Hours,4172430,R
Outrageous Fortune,93690,R
Life of the Party,5619332,PG-13
Sweeney Todd: The Demon Barber of Fleet Street,408236,R
Varsity Blues,139699,R
Message in a Bottle,139462,PG-13
My Cousin Vinny,104952,R
Blow,221027,R
Forces of Nature,141098,PG-13
Letters to Juliet,892318,PG
Broadcast News,92699,R
The Strangers,482606,R
Dennis the Menace,106701,PG
DragonHeart,116136,PG-13
The Phantom of the Opera,293508,PG-13
Hoodwinked,443536,PG
American Made,3532216,R
Enemy at the Gates,215750,R
Sneakers,105435,PG-13
Like Mike,308506,PG
A Cinderella Story,356470,"PG,TV-PG"
My Bloody Valentine,1179891,R
The Grey,1601913,R
Sleeping Beauty,53285,"G,TV-G"
Atomic Blonde,2406566,R
Finding Neverland,308644,PG
The Little Rascals,110366,PG
Lion,3741834,"PG-13,TV-PG"
The China Syndrome,78966,"PG,TV-PG"
I Can Do Bad All by Myself,1385912,PG-13
Exit Wounds,242445,"R,TV-14"
Home on the Range,299172,"TV-G,PG,TV-PG"
Stigmata,145531,R
Sicario: Day of the Soldado,5052474,R
Sommersby,108185,PG-13
Little Women,110367,PG
Evita,116250,PG
Breakdown,118771,R
Angels in the Outfield,109127,"PG,TV-PG"
The Book of Life,2262227,PG
Serendipity,240890,PG-13
A View to a Kill,90264,PG
Overboard,1563742,PG-13
Hot Tub Time Machine,1231587,R
Natural Born Killers,110632,"R,NC-17,TV-14"
K-PAX,272152,"PG-13,TV-14"
The Four Seasons,82405,PG
If I Stay,1355630,PG-13
The Deer Hunter,77416,R
The Huntsman: Winter's War,2381991,PG-13
Eddie Murphy: Raw,92948,R
The Tuxedo,290095,PG-13
Peter Pan 2: Return to Never Land,280030,G
The Dilemma,1578275,PG-13
Peter Pan,316396,PG
Date Movie,466342,PG-13
Gemini Man,1025100,PG-13
Miss Congeniality 2: Armed & Fabulous,385307,PG-13
