Movie_Title,Movie_ID,ListOfCertificate
Jimmy Neutron: Boy Genius,268397,G
Eat Pray Love,879870,"R,PG-13"
Romancing the Stone,88011,PG
Another 48 Hrs.,99044,R
Moonstruck,93565,PG
Poltergeist,84516,PG
Training Day,139654,R
Father of the Bride Part II,113041,PG
The Muppet Movie,79588,G
27 Dresses,988595,PG-13
Alice Through the Looking Glass,2567026,PG
The A-Team,429493,PG-13
U-571,141926,PG-13
Dolittle,6673612,PG
Night School,6781982,PG-13
Where the Wild Things Are,386117,PG
Parental Guidance,1047540,PG
Philadelphia,107818,PG-13
The Adventures of Tintin,983193,PG
Free Willy,106965,PG
March of the Penguins,428803,G
Man on Fire,328107,R
Gangs of New York,217505,R
Backdraft,101393,R
Jack and Jill,810913,PG
The Terminal,362227,PG-13
Alien: Covenant,2316204,R
Annabelle Comes Home,8350360,R
No Country for Old Men,477348,R
Six Days Seven Nights,120828,PG-13
Four Brothers,430105,R
The Prince of Tides,102713,R
Star Trek VI: The Undiscovered Country,102975,PG
Ladder 49,349710,PG-13
Ben-Hur,52618,G
Ray,350258,PG-13
The Exorcism of Emily Rose,404032,PG-13
10,78721,R
Eragon,449010,PG
The Nightmare Before Christmas,107688,PG
Coraline,327597,PG
Garfield,356634,PG
The Horse Whisperer,119314,PG-13
Stargate,111282,PG-13
Chocolat,241303,PG-13
Bridget Jones's Diary,243155,R
The Bridges of Madison County,112579,PG-13
Galaxy Quest,177789,PG
Three Men and a Little Lady,98966,PG
Mama,2023587,PG-13
RV,449089,PG
John Q,251160,PG-13
The Purge: Anarchy,2975578,R
1408,450385,PG-13
Ruthless People,91877,"R,PG-13"
10 Cloverfield Lane,1179933,PG-13
My Fair Lady,58385,G
Get Shorty,113161,R
Fred Claus,486583,PG
A Bad Moms Christmas,6359956,R
The First Purge,6133466,R
Hot Shots!,102059,PG-13
Divine Secrets of the Ya-Ya Sisterhood,279778,PG-13
This Is It,1477715,PG
Nine Months,113986,PG-13
The Kid,219854,PG
The Best Little Whorehouse in Texas,83642,R
Private Benjamin,81375,R
Seven Pounds,814314,PG-13
Blade,120611,R
Grumpier Old Men,113228,PG-13
Swordfish,244244,R
Born on the Fourth of July,96969,R
Boomerang,103859,R
Act of Valor,1591479,R
The Golden Compass,385752,PG-13
Star Trek: Insurrection,120844,PG
Kill Bill: Vol. 1,266697,R
Ferris Bueller's Day Off,91042,PG-13
Big Momma's House 2,421729,PG-13
Changing Lanes,264472,R
End of Days,146675,R
The Mexican,236493,R
The Secret of My Success,93936,PG-13
Kangaroo Jack,257568,PG
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1698641,PG
102 Dalmatians,211181,G
Dante's Peak,118928,PG-13
Waiting to Exhale,114885,R
The Bounty Hunter,1038919,PG-13
Race to Witch Mountain,1075417,PG
Angel Has Fallen,6189022,R
Coach Carter,393162,PG-13
Hacksaw Ridge,2119532,R
Mirror Mirror,1667353,PG
Coal Miner's Daughter,80549,PG
Lights Out,4786282,PG-13
Hidalgo,317648,PG-13
Friday the 13th,758746,R
The American President,112346,PG-13
Pitch Perfect,1981677,PG-13
Stuart Little 2,243585,PG
Wolf,111742,R
Barbershop 2: Back in Business,337579,PG-13
Exodus: Gods and Kings,1528100,PG-13
Think Like a Man Too,2239832,PG-13
Now You See Me 2,3110958,PG-13
About Schmidt,257360,R
The Visit,3567288,PG-13
Jack the Giant Slayer,1351685,PG-13
Lethal Weapon,93409,R
The Amityville Horror,384806,R
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,1127884,G
Step Up,462590,PG-13
Deuce Bigalow: Male Gigolo,205000,R
Battleship,1440129,PG-13
Madea's Witness Protection,2215285,PG-13
The Taking of Pelham 123,1111422,R
A Nightmare on Elm Street,1179056,R
The Sorcerer's Apprentice,963966,PG
Forgetting Sarah Marshall,800039,R
Rising Sun,107969,R
The Holiday,457939,PG-13
Dave,106673,PG-13
Saw IV,890870,R
The Boss,2702724,R
She's All That,160862,PG-13
Miami Vice,430357,R
Madea's Family Reunion,455612,PG-13
Tango & Cash,98439,R
The Time Traveler's Wife,452694,PG-13
The Fox and the Hound,82406,G
Jingle All the Way,116705,PG
Risky Business,86200,R
Hope Springs,1535438,PG-13
A Fish Called Wanda,95159,R
Kiss the Girls,119468,R
Three Kings,120188,R
Poseidon,409182,PG-13
Abominable,6324278,PG
Fantasia 2000,120910,G
Coyote Ugly,200550,"R,PG-13"
Harlem Nights,97481,R
God's Not Dead,2528814,PG
Mission to Mars,183523,PG
Get Him to the Greek,1226229,R
Prisoners,1392214,R
Misery,100157,R
The Shaggy Dog,393735,PG
The Devil's Advocate,118971,R
The Cell,209958,R
Friday Night Lights,390022,PG-13
Love Actually,314331,R
Rules of Engagement,160797,R
Bride Wars,901476,PG
Total Recall,1386703,PG-13
Far and Away,104231,PG-13
The Blue Lagoon,80453,R
Surf's Up,423294,PG
Vacation,1524930,R
Chariots of Fire,82158,PG
Dawn of the Dead,363547,R
Behind Enemy Lines,159273,PG-13
Courage Under Fire,115956,R
Planes: Fire & Rescue,2980706,PG
The Grand Budapest Hotel,2278388,R
The Lego Ninjago Movie,3014284,PG
The Stepford Wives,327162,PG-13
Hellboy,167190,PG-13
The Last Boy Scout,102266,R
The Dictator,1645170,R
Gothika,348836,R
Son of God,3210686,PG-13
My Big Fat Greek Wedding 2,3760922,PG-13
Secretariat,1028576,PG
The Godfather: Part II,71562,R
Sister Act 2: Back in the Habit,108147,PG
The Specialist,111255,R
Next Friday,195945,R
Blood Diamond,450259,R
Pet Sematary,98084,R
Moulin Rouge!,203009,PG-13
Dragnet,92925,PG-13
The Shack,2872518,PG-13
Boyz n the Hood,101507,R
Memoirs of a Geisha,397535,PG-13
The Cider House Rules,124315,PG-13
Life Is Beautiful,118799,PG-13
The Chronicles of Riddick,296572,"R,PG-13"
