Movie_Title,Time
Diary of a Wimpy Kid: Dog Days,94
Michael Clayton,119
Cobra,87
Sleepers,147
The Game,129
Kate &amp; Leopold,118
Nanny McPhee,97
Tyler Perry&apos;s Boo 2! A Madea Halloween,101
First Blood,93
Savages,131
Warcraft,123
Kingdom of Heaven,144
Jupiter Ascending,127
Munich,164
Hard to Kill,96
Poltergeist,93
The Kingdom,110
New Jack City,97
Into the Storm,89
In Good Company,110
Snatched,90
The Rainmaker,135
Walking Tall,86
The Breakfast Club,97
Gangster Squad,113
The Full Monty,91
"Greystoke: The Legend of Tarzan, Lord of the Apes",143
Mike and Dave Need Wedding Dates,98
Marked for Death,93
Made of Honor,101
Blended,117
The Enforcer,96
Malice,107
It&apos;s a Mad Mad Mad Mad World,210
Black Rain,125
Romeo + Juliet,120
Full Metal Jacket,116
Underworld: Rise of the Lycans,92
The Replacements,118
A Nightmare on Elm Street 3: Dream Warriors,96
Lawrence of Arabia,228
Timecop,99
xXx: Return of Xander Cage,107
Cop Out,107
Cop Land,105
The Bridge on the River Kwai,161
All Eyez on Me,139
First Man,141
Den of Thieves,140
Frequency,118
Convoy,110
Foul Play,116
Red Dawn,93
We Are Marshall,131
The Artist,100
Cats &amp; Dogs: The Revenge of Kitty Galore,82
Need for Speed,132
Under the Tuscan Sun,113
City Slickers II: The Legend of Curly&apos;s Gold,116
West Side Story,153
Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan,84
License to Wed,91
The Lovely Bones,135
The Gift,108
Diamonds Are Forever,120
Wall Street,126
Soul Surfer,112
Tears of the Sun,121
Always,122
Wag the Dog,97
Prom Night,88
The Age of Adaline,112
Step Up 3D,107
Widows,129
"Welcome Home, Roscoe Jenkins",104
Casino,178
Uncle Drew,103
Final Destination 5,92
Beverly Hills Cop III,104
Krampus,98
The Lizzie McGuire Movie,94
Teenage Mutant Ninja Turtles III,96
The Unborn,88
Max,111
Time Bandits,116
Gosford Park,131
Secondhand Lions,111
Peggy Sue Got Married,103
Mannequin,90
Pale Rider,115
About a Boy,101
Truth or Dare,100
Gremlins 2: The New Batch,106
Three Days of the Condor,117
High Crimes,115
Bandits,123
Pee-wee&apos;s Big Adventure,91
Hanna,111
Orange County,82
Heartbreakers,123
Swiss Family Robinson,126
The Master of Disguise,80
Blue Crush,104
The Water Horse,112
Paddington 2,103
Reds,195
The Fly,96
Pretty in Pink,97
Ghost in the Shell,107
Bill &amp; Ted&apos;s Excellent Adventure,90
Little Nicky,90
Pleasantville,124
The Expendables 3,126
Duplicity,125
Body of Lies,128
Dead Man Walking,122
Jagged Edge,108
Burlesque,119
Joe Versus the Volcano,102
Crazy Heart,112
Nobody&apos;s Fool,110
Hocus Pocus,96
The Texas Chainsaw Massacre: The Beginning,91
Benji,86
Conan the Barbarian,129
Out for Justice,91
Jackie Brown,154
30 Days of Night,113
Gridiron Gang,125
Epic Movie,86
Hitman,100
Blind Date,95
Evolution,101
City Heat,93
47 Ronin,128
Last Holiday,112
Red Dawn,114
The Terminator,107
Pride &amp; Prejudice,129
Midnight Run,126
Surrogates,89
Rock of Ages,123
Sex Tape,94
Nerve,96
Spy Kids 4: All the Time in the World,89
On Deadly Ground,101
The Great Mouse Detective,74
The Ghost and the Darkness,110
Happy Gilmore,92
Harold &amp; Kumar Escape from Guantanamo Bay,114
It Could Happen to You,101
St. Elmo&apos;s Fire,110
El laberinto del fauno,118
Red Riding Hood,100
How Stella Got Her Groove Back,124
The AristoCats,78
Philomena,98
August: Osage County,121
Autumn in New York,103
Sky Captain and the World of Tomorrow,106
Mars Attacks!,106
Bedazzled,93
Wild,115
All That Jazz,123
The Nativity Story,101
The Dead Pool,91
Junior,109
Jeepers Creepers,90
The Heartbreak Kid,116
The Brave One,122
Rear Window,112
Bounce,106
Kiss of the Dragon,98
My Favorite Martian,94
Notorious,122
Risen,107
16 Blocks,102
The Family,111
Matchstick Men,116
Best Friends,116
Uptown Girls,92
Clockstoppers,94
Carlito&apos;s Way,144
The Getaway,123
In the Bedroom,131
The Boy,97
Alpha,96
The Theory of Everything,123
Dirty Harry,102
The Pink Panther 2,92
What a Girl Wants,105
Set It Off,123
Derailed,108
Hanging Up,94
Walking with Dinosaurs 3D,87
Mile 22,94
Mortal Kombat: Annihilation,95
Mad Max Beyond Thunderdome,107
Step Up Revolution,99
Selena,127
American Assassin,111
Dragon: The Bruce Lee Story,120
Ultimo tango a Parigi,129
Commando,90
Fletch Lives,95
Ouija: Origin of Evil,99
K-19: The Widowmaker,138
Pan,111
For Love of the Game,137
The Doors,140
The Number 23,98
Honeymoon in Vegas,96
Carrie,100
Frankenweenie,87
The Flintstones in Viva Rock Vegas,90
Money Train,110
