Money,Count
146428180,1
146395331,10
146357270,3
146071112,2
145896422,1
145418070,1
144704493,2
144579748,2
144108164,5
143808225,2
143800106,2
143747420,4
143598882,2
143393107,5
143372676,2
142958164,1
142958164,1
142958164,1
142682498,3
142416834,3
142400065,1
141819949,5
141691124,2
141363025,3
141069860,1
141001462,5
140904458,4
140820150,3
140705322,1
140136092,3
139998200,2
139900223,3
139745142,3
139586237,2
139191345,1
139191345,1
139191345,1
139104170,3
138545632,1
138342258,1
138247282,2
138224951,1
138208254,3
137587063,1
137515140,1
137421414,4
137298489,1
137202462,8
137099431,4
136885767,1
136853506,1
136796719,1
136771683,1
136771683,1
136711960,3
136467303,4
136304837,2
136214810,2
136159423,1
135710029,1
135039924,1
134866593,1
134766077,3
134539044,5
134460072,4
134428345,2
134266089,5
134212055,1
133949270,1
133632195,10
133432856,1
133375546,2
133338764,2
133047427,7
133031473,1
133031473,1
132675864,1
132675864,1
132239078,2
131977904,1
131613316,5
131457682,1
131457682,1
131426169,1
131211377,1
131057073,2
131034755,5
130834224,5
130773333,2
130728365,4
130717611,2
130703621,4
130628903,1
130628903,1
130560428,1
130516424,1
130516424,1
130444115,2
130252245,7
130224158,1
130154568,1
130126277,1
130091896,9
130066775,7
129983192,2
129540522,1
129342769,1
129216773,2
129190869,1
128388320,1
128363881,1
127944208,1
127944208,1
127932899,2
127869379,1
127734921,3
127666415,1
127600435,1
127461872,1
127392693,1
127278735,4
127258309,4
126844581,2
126746962,10
126546518,1
126546518,1
126239585,3
126106639,2
126054960,2
125856180,1
125797575,4
125776644,2
125586134,1
125544024,1
125501623,9
125427681,1
125427681,1
125212904,1
124745083,1
124596837,1
124526118,2
124378031,13
124160678,2
124099833,3
123726688,1
123309910,2
123218258,3
122823468,1
122707994,10
122524177,11
122444772,1
122210873,11
122126687,1
121918108,4
121469892,3
121214377,1
121126188,1
120983404,10
120674072,2
120673227,1
120556201,1
120081841,1
120072577,1
119974972,1
119942387,1
119932733,1
119835891,2
119682635,1
119559110,1
119471337,3
119274562,2
119265792,2
119265491,11
119194052,3
119107580,1
119107580,1
119100758,1
119100758,1
119080883,2
119030648,2
118892757,4
118890272,1
118732233,2
118253711,2
118153135,1
118153135,1
117867984,1
117758500,1
117679066,1
117679066,1
117507309,5
117487473,1
117486106,3
117094902,1
116980662,1
116890611,3
116471580,1
116328275,3
116302130,3
116112375,1
116112375,1
116006063,8
115755151,3
115651072,15
115591007,2
115505027,1
115505027,1
115401593,2
115374915,1
115189897,11
115133600,2
115035090,1
114977496,2
114715801,6
113493481,1
113100873,1
112947379,5
112670997,3
112544662,2
112483764,1
112483764,1
112444828,3
112385247,2
111922142,1
111922142,1
111105497,1
110763554,4
110715058,2
110667393,2
110317580,1
110317580,1
110216998,1
110152957,4
110082797,3
110016984,2
110013167,1
109839943,8
109781024,2
109706931,1
109676311,1
109496411,3
109423648,1
109423648,1
109114817,1
108976456,1
108976456,1
108605609,1
108605609,1
108518797,2
108159699,3
107912717,3
107816123,2
107778296,41
107771801,3
107752036,1
107688689,2
107643822,2
107394100,3
107106130,8
107045109,1
106882059,5
106556412,4
106550690,1
106453972,3
106387141,1
106371651,1
106260000,1
106159527,5
105921627,2
105725042,4
105667407,2
105647102,1
105372850,3
105327638,2
105286729,2
105178561,1
105015008,1
104882445,1
104865962,3
104807110,7
104803922,5
104803315,4
104690785,8
104545505,1
104438188,1
104391623,1
104389801,4
104360153,3
104155843,1
104003322,1
103998617,8
103911669,1
103891409,1
103881742,2
103855475,3
103726826,3
103717089,13
103350892,2
103215094,1
103197501,1
103039258,1
102992536,1
102984862,1
102952888,1
102952888,1
102569629,2
102366815,1
102338515,1
102338515,1
102310697,1
102310697,1
102310697,1
102278712,1
102143744,9
101758490,1
101666703,2
101630391,5
101564935,1
101452200,4
101251726,2
101209702,1
100998080,4
100729273,2
100605135,1
100502638,1
100502638,1
100489151,1
100488498,2
100338575,3
100312926,5
100066965,5
99783556,1
99648784,3
99431786,1
99431786,1
99378985,1
99369737,5
99190014,9
99085291,1
99036827,1
98889520,7
98726301,17
98705294,2
98690254,1
98670552,2
98636181,7
98450062,1
98410061,1
98337295,1
98301921,5
98293068,4
98241556,7
98126565,1
98078751,2
97837138,1
97831230,3
97677765,2
97591144,7
97571250,1
97571250,1
97529550,1
97471533,2
97281711,7
96890417,6
96845837,5
96815115,2
96764849,2
96749196,8
96593018,1
96478551,4
96455697,1
96317281,2
96193763,5
96119773,1
96086727,3
95802916,1
95714875,1
95708457,1
95437994,1
95166712,3
95146283,1
95049667,4
94815708,14
94728529,1
94525566,3
94244191,1
94223727,8
94160754,3
93974620,1
93902364,5
93813338,4
93575072,2
93320380,1
93266437,3
92991835,1
92991393,6
92913171,1
92884429,1
92815799,2
92764199,1
92764199,1
92764199,1
92692225,3
92668304,13
92455742,1
92374674,1
92346365,3
92181574,1
92021356,4
91980359,1
91757861,3
91708374,1
91708374,1
91542097,1
91527795,1
91527795,1
91390838,3
91258000,1
91196419,1
91056268,4
90842646,1
90709367,1
90449929,1
90442728,4
90432332,2
90383208,1
90270536,2
90220872,9
90179580,2
89979045,2
89811058,5
89732603,2
89675481,4
89610675,4
89575053,5
89553487,6
89471935,6
89433436,1
89433436,1
89331628,7
89137047,1
88637778,2
88385944,1
88385944,1
88215156,1
88165289,8
87987055,1
87987055,1
87948709,2
87892388,1
87892388,1
87840042,1
87840042,1
87611203,3
87320000,1
87311801,2
87305549,1
87129910,1
87129910,1
87100449,1
87096501,2
87066930,1
87066930,1
86758912,1
86758912,1
86726860,2
86721634,6
86602291,3
86572238,1
86468162,1
86432000,1
86432000,1
86404271,2
86369815,1
86273333,1
86252940,1
86234523,1
86234523,1
86095683,9
86086881,1
85938115,5
85933170,2
85892154,2
85878706,6
85760830,2
85638656,1
85603363,1
85564310,1
85446075,1
85424852,6
85159081,2
85131830,1
85131830,1
84954351,3
84920539,1
84694222,2
84565230,1
84563118,1
84542002,1
84536174,2
84528833,4
84419388,1
84419388,1
84093538,7
84019580,3
83933510,1
83933510,1
83850267,1
83811709,2
83691155,3
83687984,2
83674365,3
83590846,3
83282296,1
83188963,2
83188165,1
83188165,1
83137603,1
83137603,1
83080890,1
83080890,1
82966152,1
82585468,2
82499399,1
82347656,1
82347656,1
82301920,2
82261649,2
82241365,6
82202501,2
82169884,1
82160851,3
81979826,1
81952534,6
81924520,4
81600000,1
81600000,1
81515369,1
81515369,1
81455135,2
81125199,2
80693537,1
80239658,1
80239658,1
80205382,1
80049764,1
79829963,2
79711800,3
79666653,1
79654024,4
79628830,1
79341169,2
79323221,3
79032957,5
78988148,1
78906856,6
78837020,7
78743566,2
78638987,1
78568977,1
78547586,1
78541627,7
78412609,4
78411663,5
78378744,1
78371200,1
78345418,2
78339161,5
78281033,3
78183332,2
78142709,8
78110021,1
78110021,1
78053145,1
78053145,1
77953408,4
77912251,1
77578320,1
77516304,1
77472486,4
77472486,4
77472486,4
77035426,4
76961310,2
76712408,2
76693052,1
76672943,3
76669554,1
76669554,1
76660181,3
76594107,1
76585828,1
76490720,1
76480768,2
76419755,1
76327488,9
76287982,1
76287982,1
76287982,1
75981180,1
75562247,3
75509628,3
75479309,3
75395048,1
75153309,2
75108817,1
75108817,1
74939189,1
74939189,1
74710855,3
74575150,2
74399634,2
74258112,2
74250722,3
74236951,1
74236951,1
73959088,2
73923561,2
73794711,2
73498611,1
73390988,2
73264128,2
73256266,1
73161396,2
73100172,1
73006996,5
72915757,2
72835710,1
72617068,1
72617068,1
72492155,3
72430674,2
72234010,2
72216294,1
72178895,1
72109200,1
72109200,1
